2026-04-30 17:29:16 | Experiment | INFO | experiment.py:165 | [p1-rag-evals_10:Experiment] An experiment with the same name already exists. Created a new experiment 'p1-rag-evals_10' with Experiment ID: 11 at /home/ewshen/rapidfireai/rapidfire_experiments/p1-rag-evals_10
2026-04-30 17:29:35 | Experiment | INFO | metric_rfmetric_manager.py:55 | [p1-rag-evals_10:Experiment] Initialized MLflowMetricLogger: rf_mlflow
2026-04-30 17:29:35 | Experiment | INFO | metric_rfmetric_manager.py:119 | [p1-rag-evals_10:Experiment] Creating MLflow experiment: p1-rag-evals_10
2026-04-30 17:29:35 | Experiment | INFO | experiment.py:210 | [p1-rag-evals_10:Experiment] Initialized MetricLogger experiment: 11
2026-04-30 17:29:35 | Experiment | INFO | experiment.py:226 | [p1-rag-evals_10:Experiment] Using existing dispatcher/api server at 127.0.0.1:8851.
2026-04-30 17:29:35 | Experiment | WARNING | experiment.py:381 | [p1-rag-evals_10:Experiment] No GPUs available. Be sure to use external APIs for inference.
2026-04-30 17:29:35 | Experiment | INFO | experiment.py:383 | [p1-rag-evals_10:Experiment] Running multi-config experiment with 4 shard(s), (0.0 GPUs per actor, 8.0 CPUs per actor, 8 actors)
2026-04-30 17:29:35 | Experiment | INFO | experiment.py:392 | [p1-rag-evals_10:Experiment] Reset states of existing pipelines/contexts/tasks (marked as failed)
2026-04-30 17:29:36 | Controller | INFO | controller.py:895 | [p1-rag-evals_10:Controller] Dataset sharded into 4 shard(s). Shard sizes: [5, 5, 5, 5]
2026-04-30 17:29:36 | Controller | INFO | controller.py:900 | [p1-rag-evals_10:Controller] Received 8 pipeline configuration(s)
2026-04-30 17:29:36 | Controller | INFO | controller.py:309 | [p1-rag-evals_10:Controller] Found 6 unique RAG context(s)
2026-04-30 17:29:36 | Controller | INFO | controller.py:320 | [p1-rag-evals_10:Controller] Will build new context 608092d5...
2026-04-30 17:29:36 | Controller | INFO | controller.py:320 | [p1-rag-evals_10:Controller] Will build new context 6522fb50...
2026-04-30 17:29:36 | Controller | INFO | controller.py:320 | [p1-rag-evals_10:Controller] Will build new context 26707554...
2026-04-30 17:29:36 | Controller | INFO | controller.py:320 | [p1-rag-evals_10:Controller] Will build new context 2ad34c0d...
2026-04-30 17:29:36 | Controller | INFO | controller.py:320 | [p1-rag-evals_10:Controller] Will build new context 8a77f0fd...
2026-04-30 17:29:36 | Controller | INFO | controller.py:320 | [p1-rag-evals_10:Controller] Will build new context 908c3294...
2026-04-30 17:29:36 | Controller | INFO | controller.py:346 | [p1-rag-evals_10:Controller] Building 6 context(s) in parallel...
2026-04-30 17:29:36 | Controller | INFO | controller.py:373 | [p1-rag-evals_10:Controller] Creating 6 DocProcessingActor(s) for parallel processing
